City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Aripuana,BR,2021-06-13 21:30:33,-9.1667,-60.6333,82.6,52,51,0.83
263,Beringovskiy,RU,2021-06-13 21:34:43,63.05,179.3167,33.67,100,100,13.38
264,Mazamari,PE,2021-06-13 21:34:44,-11.3258,-74.5308,77.58,68,43,0.63
265,Acarau,BR,2021-06-13 21:30:48,-2.8856,-40.12,79.11,80,21,11.36
266,Santa Rosa,PH,2021-06-13 21:32:40,14.3122,121.1114,81.91,90,100,0.72
267,Aginskoye,RU,2021-06-13 21:34:44,51.1,114.53,58.19,88,100,6.22
268,San Cristobal,VE,2021-06-13 21:30:40,7.7669,-72.225,78.98,69,100,4.05
269,Bow Island,CA,2021-06-13 21:34:45,49.8668,-111.3684,86.02,26,47,9.22
270,Seguin,US,2021-06-13 21:30:01,29.5688,-97.9647,100.51,51,1,3.0
271,Grindavik,IS,2021-06-13 21:34:45,63.8424,-22.4338,46.35,87,75,11.5
272,Calama,CL,2021-06-13 21:34:46,-22.4667,-68.9333,70.29,5,0,20.71
273,Creel,MX,2021-06-13 21:34:46,27.75,-107.6333,84.25,14,24,19.37
274,Shache,CN,2021-06-13 21:30:20,38.4167,77.2406,74.93,29,100,6.38
275,Cherskiy,RU,2021-06-13 21:34:47,68.75,161.3,59.0,38,81,5.39
276,Slave Lake,CA,2021-06-13 21:30:14,55.2834,-114.769,75.18,22,90,14.97
277,Juba,SS,2021-06-13 21:34:47,4.8517,31.5825,70.66,82,44,3.98
278,Aurora,US,2021-06-13 21:34:33,39.7294,-104.8319,97.79,25,40,5.01
279,Tiverton,GB,2021-06-13 21:34:48,50.9,-3.4833,63.03,84,4,2.15
280,Urumqi,CN,2021-06-13 21:30:21,43.801,87.6005,54.55,77,75,24.61
281,Namatanai,PG,2021-06-13 21:31:27,-3.6667,152.4333,81.57,69,71,5.82
282,Nsoko,SZ,2021-06-13 21:34:49,-27.0333,31.95,61.03,57,4,3.49
283,Rongcheng,CN,2021-06-13 21:34:49,30.634,117.8517,75.87,96,100,3.4
284,Taoudenni,ML,2021-06-13 21:34:49,22.6783,-3.9836,103.5,9,7,12.15
285,Rio Verde De Mato Grosso,BR,2021-06-13 21:34:50,-18.9181,-54.8442,71.65,52,0,2.42
286,Laguna,US,2021-06-13 21:34:50,38.421,-121.4238,93.45,34,1,4.0
287,Auki,SB,2021-06-13 21:34:51,-8.7676,160.7034,80.38,82,97,4.07
288,Harnosand,SE,2021-06-13 21:34:51,62.6323,17.9379,53.01,64,99,5.19
289,Maine-Soroa,NE,2021-06-13 21:21:18,13.2114,12.0241,87.48,44,58,16.08
290,Mlonggo,ID,2021-06-13 21:34:52,-6.5333,110.7,78.69,83,97,4.88
291,Aykhal,RU,2021-06-13 21:34:52,66.0,111.5,42.1,97,100,16.6
292,Cockburn Town,TC,2021-06-13 21:34:52,21.4612,-71.1419,84.16,70,20,13.8
293,Havre-Saint-Pierre,CA,2021-06-13 21:34:53,50.2334,-63.5986,52.16,58,20,20.71
294,Rocha,UY,2021-06-13 21:34:53,-34.4833,-54.3333,56.53,90,1,6.38
