City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Inhambane,MZ,-23.865,35.3833,66.38,82,2,6.06,clear sky
218,Ilulissat,GL,69.2167,-51.1,37.42,87,40,4.61,scattered clouds
219,Nikolskoye,RU,59.7035,30.7861,53.87,82,27,5.28,scattered clouds
220,Srednekolymsk,RU,67.45,153.6833,51.06,77,100,15.12,light rain
221,Samarai,PG,-10.6167,150.6667,80.92,82,88,13.49,overcast clouds
222,Naze,JP,28.3667,129.4833,79.77,83,91,21.92,overcast clouds
223,Camacari,BR,-12.6975,-38.3242,76.77,81,86,5.01,overcast clouds
224,Christchurch,NZ,-43.5333,172.6333,51.03,96,90,1.99,overcast clouds
225,Vacaville,US,38.3566,-121.9877,95.5,22,1,3.0,clear sky
226,Honningsvag,NO,70.9821,25.9704,42.55,74,100,24.47,overcast clouds
227,Normandin,CA,48.8333,-72.5321,62.58,41,64,8.12,broken clouds
228,Klaksvik,FO,62.2266,-6.589,49.12,97,100,25.26,overcast clouds
229,San Patricio,US,28.017,-97.5169,94.98,51,12,12.03,few clouds
230,Ancud,CL,-41.8697,-73.8203,44.13,74,1,5.53,clear sky
231,Makakilo City,US,21.3469,-158.0858,82.72,59,90,5.75,overcast clouds
232,Marsh Harbour,BS,26.5412,-77.0636,82.31,76,100,15.23,overcast clouds
233,San Quintin,MX,30.4833,-115.95,72.43,68,100,7.65,overcast clouds
234,Teseney,ER,15.11,36.6575,80.06,55,97,7.16,overcast clouds
235,Shubarkuduk,KZ,49.1447,56.4872,74.3,31,99,7.38,overcast clouds
236,Garowe,SO,8.4054,48.4845,75.78,70,97,27.2,overcast clouds
237,Maceio,BR,-9.6658,-35.7353,76.44,88,40,3.44,scattered clouds
238,Pleasanton,US,37.6624,-121.8747,91.92,38,1,1.01,clear sky
239,Jinchang,CN,38.4953,102.1739,59.59,54,100,6.22,overcast clouds
240,Lubao,PH,14.9167,120.55,84.22,80,91,3.06,overcast clouds
241,Diego De Almagro,CL,-26.3667,-70.05,54.59,65,97,1.45,overcast clouds
242,Sorong,ID,-0.8833,131.25,78.71,82,100,3.98,overcast clouds
243,Cap Malheureux,MU,-19.9842,57.6142,69.48,77,0,3.0,clear sky
244,Yeniseysk,RU,58.4497,92.1703,50.0,86,99,6.11,overcast clouds
245,Itacoatiara,BR,-3.1431,-58.4442,75.25,93,81,0.94,broken clouds
246,Sovetskiy,RU,61.3614,63.5842,52.47,75,23,4.34,few clouds
247,Gushikawa,JP,26.3544,127.8686,82.4,94,90,14.97,overcast clouds
248,Tarko-Sale,RU,64.9225,77.785,61.0,91,94,12.57,overcast clouds
249,Chuy,UY,-33.6971,-53.4616,47.57,82,68,9.71,broken clouds
250,Carnarvon,AU,-24.8667,113.6333,50.07,53,98,10.36,overcast clouds
251,Doka,SD,13.5167,35.7667,80.28,63,100,4.23,overcast clouds
252,Nanortalik,GL,60.1432,-45.2371,37.06,91,100,11.16,overcast clouds
253,Hofn,IS,64.2539,-15.2082,37.76,75,100,20.27,light rain
254,Gazojak,TM,41.1875,61.4036,77.11,22,0,10.54,clear sky
255,Batemans Bay,AU,-35.7167,150.1833,53.2,70,2,3.62,clear sky
256,Hay River,CA,60.8156,-115.7999,54.43,60,93,11.81,overcast clouds
257,Ulaanbaatar,MN,47.9077,106.8832,41.13,70,40,15.66,scattered clouds
258,Medvezhyegorsk,RU,62.9167,34.4667,50.05,72,30,7.18,scattered clouds
259,Changping,CN,40.2186,116.2197,70.52,72,100,10.0,overcast clouds
260,Stepnyak,KZ,52.8339,70.7803,65.17,43,44,9.24,scattered clouds
261,Kargasok,RU,59.0556,80.8572,60.55,80,68,8.41,broken clouds
262,Charkhari,IN,25.4,79.75,86.49,60,21,3.76,few clouds
263,Kyaukse,MM,21.6,96.1333,80.6,74,75,13.8,broken clouds
264,Samana,DO,19.2056,-69.3369,85.96,86,90,9.75,overcast clouds
265,Bismarck,US,46.8083,-100.7837,93.04,25,1,14.0,clear sky
266,Atherton,GB,53.5237,-2.4935,62.46,73,33,5.19,scattered clouds
267,Sumenep,ID,-7.0167,113.8667,79.02,84,45,6.8,scattered clouds
268,Fare,PF,-16.7,-151.0167,80.38,77,30,20.8,light rain
